code,description,merge_explanation,original_code,quote,source
Understanding Clinical Research Trials,"Participants seek clarity on the purpose, structure, and significance of clinical research and trials in medical advancements.","These codes were merged due to their overlapping focus on participants' understanding of clinical research and trials, emphasizing their purpose and significance in medical research.","[""Understanding Clinical Research"", ""Understanding Clinical Trials"", ""Understand Clinical Research""]","[{""text"": ""[{\""text\"": \""They do different things with you to see what works best or what, you know, if you can take that medicine.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""A clinical trial involves a clinic organizing with a group of doctors to collate information and find answers.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""A clinical research study for me is an accumulation of data about your particular medical condition in order to improve, to have more knowledge of it.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}, {\""text\"": \""I guess it's research being done in an area of medicine that one may or may not participate in depending on whether you fit the parameters of that study.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I think of structured research or some sort through a university of some sort.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv""}]","16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Understanding Clinical Trials,"Comprehending the nature, purpose, and significance of clinical trials and research studies in medical research.","These codes were merged due to their overlapping focus on understanding clinical trials, emphasizing both their nature and importance in medical research.","[""Understanding Clinical Trials"", ""Understanding Clinical Trials"", ""Understanding Clinical Trials""]","[{""text"": ""[{\""text\"": \""Well, the clinical trial is an experiment where clinicians or scientists try to evaluate a hypothesis.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""A clinical trial means to me where questions are being asked, or samples of data or health-related situations are gathered.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv""}, {""text"": ""[{\""text\"": \""Um, research for a new medicine or new way of doing something.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""For me, it\\u2019s when you go [and get?] a study for like liver.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv, 5_R24FG_HM_Group_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""When I hear clinical studies, it does worry a little bit because I think they want to do tests on you, so it's kind of scary.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}, {\""text\"": \""I think of studies or tests or ways to test out new medicines or new ways to help people improve or get healthier.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}, {\""text\"": \""I think, I consider a clinical trial basically, basically some kind of medical research.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv""}]","2_R24FG_BF_Individual_GNV_initial_codes.csv, 5_R24FG_HM_Group_GNV_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv"
Understanding Medical History,The goal of gaining insights into personal medical history and its implications for health.,,"[""Understanding Medical History""]","[{""text"": ""[{\""text\"": \""I got all this information on my D-N-A that was so fascinating.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Understanding Technology,Users recognize the challenges some individuals face with technology and aim to bridge the gap for those less tech-savvy.,,"[""Understanding Technology""]","[{""text"": ""[{\""text\"": \""I do understand the people who don't have the access, who don't understand the portals or don't use cell phones.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Understanding Vaccine Concerns,"Users express concerns about vaccines and their side effects, influencing their decisions on participation in trials.",,"[""Understanding Vaccine Concerns""]","[{""text"": ""[{\""text\"": \""I may not be here if I'd had three.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Understanding of Clinical Research,"The interviewee differentiates between clinical trials and clinical research studies, indicating a nuanced understanding of the terms.",,"[""Understanding of Clinical Research""]","[{""text"": ""[{\""text\"": \""I guess more of a study, you know, then a actual trial itself, I would think.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Usability of Health Portals,The participant expresses the need for improvements in the usability of health management portals.,,"[""Usability of Health Portals""]","[{""text"": ""[{\""text\"": \""I really think that needs a lot of improvement.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
User-Friendly Avatars,Users want avatars that appear more human-like and relatable to enhance engagement.,,"[""User-Friendly Avatars""]","[{""text"": ""[{\""text\"": \""I think it\\u2019s much better without the breaking up... it makes it seem a little bit more real.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
User-Friendly Design,Users prefer a design that is intuitive and easy to navigate.,,"[""User-Friendly Design""]","[{""text"": ""[{\""text\"": \""Give me like a bullet point.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
User-Friendly Interface,Users desire a more intuitive and user-friendly interface for navigating research studies.,,"[""User-Friendly Interface"", ""User-Friendly Interface""]","[{""text"": ""[{\""text\"": \""I think I\\u2019d be inclined to want to... have something that says, 'Well, I'm interested in this.'\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}, {""text"": ""[{\""text\"": \""He's easy to listen to. He\\u2019s calm, he comes across that he cares.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]","14_R24FG_WF_Group_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
User-Friendly Technology,Participants expect technology used in research to be user-friendly and intuitive.,,"[""User-Friendly Technology""]","[{""text"": ""[{\""text\"": \""I think if you\\u2019re dressed appropriately for whatever... these people all look like they\\u2019re professionals.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Value of Credible Sources,The goal is to prioritize information from credible institutions to enhance trustworthiness.,,"[""Value of Credible Sources""]","[{""text"": ""[{\""text\"": \""He was quoting information that seemed like it came from a reliable source.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Value of Informational Resources,Participants appreciate resources that provide clear and helpful information about clinical trials.,,"[""Value of Informational Resources""]","[{""text"": ""[{\""text\"": \""The information that he's giving I think is excellent.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Value of Personal Research,Participants emphasize the importance of conducting personal research to make informed health decisions.,,"[""Value of Personal Research""]","[{""text"": ""[{\""text\"": \""I search and search. I found out that if you are low in vitamin B12, that could help you out.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Verification of Information,"The goal is to verify health information through multiple sources, including consulting with healthcare providers.",,"[""Verification of Information""]","[{""text"": ""[{\""text\"": \""I read it, and then I look for it somewhere else.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Visual Appeal of Avatars,Users appreciate visually appealing avatars that enhance their experience.,,"[""Visual Appeal of Avatars""]","[{""text"": ""[{\""text\"": \""I like the background better.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Visual Appeal of Design,Users appreciate visually appealing designs that are bright and engaging.,,"[""Visual Appeal of Design""]","[{""text"": ""[{\""text\"": \""I do like the lighter blue. You know, I guess you know, I think that stands out more.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Visual Appeal of Information,Participants prefer visually appealing and engaging formats for receiving information about research.,,"[""Visual Appeal of Information""]","[{""text"": ""[{\""text\"": \""It's not as friendly as the one the lady was talking.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Visual Engagement,Users want engaging visuals that capture attention and enhance understanding of the content presented.,,"[""Visual Engagement""]","[{""text"": ""[{\""text\"": \""Graphics pull you in. Graphics simplify. They make you want to look, and they show you what you have to look at and what you don't.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Visual Hierarchy,Users prefer a clear visual hierarchy that guides them through the content effectively.,,"[""Visual Hierarchy""]","[{""text"": ""[{\""text\"": \""I would make the whole thing a big button. People like big buttons.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Visual Previews for Downloads,Users want visual previews for downloadable content to better understand what they are accessing.,,"[""Visual Previews for Downloads""]","[{""text"": ""[{\""text\"": \""Maybe like a thumbnail of the guide, small, and then has 'download question guide' under it.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Volunteering for Medical Research,Participants express a desire to volunteer and contribute to medical knowledge through clinical research and trials.,"These codes were merged because they all emphasize the intention to participate in research to advance medical knowledge and help others, highlighting a common theme of altruism in clinical research.","[""Volunteering for Research"", ""Contributing to Medical Knowledge"", ""Contribute to Research"", ""Participate in Research"", ""Participate in Clinical Trials""]","[{""text"": ""[{\""text\"": \""You have to volunteer for a clinical research, in order for them to study a particular illness that you might have.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}, {\""text\"": \""If I can participate in this study, and somebody learns something to keep somebody else healthier, or living their best life, then so be it.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""Just contribute to furthering, you know, medical knowledge.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}, {\""text\"": \""Just the ability to help others understand pain and how it works in women and pain signals.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I think I would do the same thing too, because I don't think you have anything to lose at that stage of life.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv""}]","13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv"
Willingness to Recommend Resources,The user is open to recommending Alex as a resource for understanding clinical trials to friends and family.,,"[""Willingness to Recommend Resources"", ""Willingness to Recommend Resources""]","[{""text"": ""[{\""text\"": \""I would be considering to share with my friends.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I\\u2019d be comfortable with it.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]","5_R24FG_HM_Group_GNV_initial_codes.csv, 16_R24FG_WF_Individual_GNV_initial_codes.csv"
Willingness to Share and Recommend,Participants express readiness to share health data and recommend clinical trials when informed and confident.,"These codes were merged because they both reflect participants' openness to sharing health-related information and recommending clinical trials, emphasizing trust and confidence in the process.","[""Willingness to Share Health Data"", ""Willingness to Recommend"", ""Comfort in Recommendations""]","[{""text"": ""[{\""text\"": \""If you guys going to be everything, um, and privacy, not, you don\\u2019t share to another.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I\\u2019d be comfortable enough, yes.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""Oh, without a doubt. I would. Yeah, I'd like to see y'all completely fill out.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv""}]","5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv"
